Size,Lagrange_interpolation,Newton_polynomial,Newton_Interpolation,package_Polynomial,package_interpolation
40,3.6268085,0.0241423,0.0842335,0.0554079,0.0300207
40,3.7295991,0.0229307,0.0872445,0.0544347,0.0302425
40,3.6963835,0.0238569,0.0914158,0.0501847,0.0354359
40,3.6926567,0.0234173,0.0869364,0.0510326,0.0299766
40,3.6513184,0.0238692,0.0900792,0.0645883,0.0378286
40,3.6505876,0.0226066,0.0824275,0.0459448,0.027838
40,3.7253543,0.0242395,0.085547,0.04949,0.0311221
40,3.6809731,0.0243698,0.089705,0.0508151,0.0301784
40,3.6923201,0.0245993,0.0871619,0.0487268,0.0311756
40,3.6918342,0.0248735,0.0872084,0.0527275,0.0296485
