"","size","vector","matrix"
"1",100,1.40666961669922e-05,8.79764556884766e-05
"2",100,6.91413879394531e-06,6.60419464111328e-05
"3",100,4.05311584472656e-06,5.10215759277344e-05
"4",100,4.05311584472656e-06,6.19888305664062e-05
"5",100,4.05311584472656e-06,5.79357147216797e-05
"6",100,3.09944152832031e-06,5.00679016113281e-05
"7",100,7.15255737304688e-06,6.103515625e-05
"8",100,8.82148742675781e-06,7.10487365722656e-05
"9",100,6.91413879394531e-06,6.60419464111328e-05
"10",100,4.05311584472656e-06,6.19888305664062e-05
"11",200,5.00679016113281e-06,0.000152826309204102
"12",200,4.05311584472656e-06,0.000213146209716797
"13",200,5.00679016113281e-06,0.00014495849609375
"14",200,5.00679016113281e-06,0.00014185905456543
"15",200,8.10623168945312e-06,0.000143051147460938
"16",200,7.86781311035156e-06,0.000154018402099609
"17",200,5.00679016113281e-06,0.000141143798828125
"18",200,4.05311584472656e-06,0.000143051147460938
"19",200,4.05311584472656e-06,0.000142097473144531
"20",200,4.05311584472656e-06,0.000143051147460938
"21",300,1.21593475341797e-05,0.00031590461730957
"22",300,6.91413879394531e-06,0.000319004058837891
"23",300,6.91413879394531e-06,0.000427961349487305
"24",300,9.05990600585938e-06,0.000356912612915039
"25",300,6.19888305664062e-06,0.000322818756103516
"26",300,9.05990600585938e-06,0.000347137451171875
"27",300,7.15255737304688e-06,0.000329971313476562
"28",300,5.96046447753906e-06,0.000330924987792969
"29",300,5.00679016113281e-06,0.000337123870849609
"30",300,5.00679016113281e-06,0.000338077545166016
"31",400,1.88350677490234e-05,0.00053095817565918
"32",400,1.09672546386719e-05,0.000406980514526367
"33",400,1.21593475341797e-05,0.000388145446777344
"34",400,1.71661376953125e-05,0.000638961791992188
"35",400,2.00271606445312e-05,0.000820159912109375
"36",400,1.69277191162109e-05,0.000741004943847656
"37",400,2.31266021728516e-05,0.000842809677124023
"38",400,2.09808349609375e-05,0.000792980194091797
"39",400,2.21729278564453e-05,0.000743865966796875
"40",400,1.97887420654297e-05,0.000792980194091797
"41",500,2.31266021728516e-05,0.0012969970703125
"42",500,2.288818359375e-05,0.00132417678833008
"43",500,2.09808349609375e-05,0.00118899345397949
"44",500,3.69548797607422e-05,0.00134801864624023
"45",500,2.288818359375e-05,0.00167703628540039
"46",500,1.69277191162109e-05,0.00115799903869629
"47",500,1.50203704833984e-05,0.000799179077148438
"48",500,2.88486480712891e-05,0.00122594833374023
"49",500,1.59740447998047e-05,0.000848054885864258
"50",500,1.78813934326172e-05,0.000956058502197266
"51",600,2.31266021728516e-05,0.0016331672668457
"52",600,1.62124633789062e-05,0.00135707855224609
"53",600,1.69277191162109e-05,0.00121092796325684
"54",600,2.59876251220703e-05,0.00171995162963867
"55",600,2.288818359375e-05,0.00211286544799805
"56",600,3.09944152832031e-05,0.00105810165405273
"57",600,1.88350677490234e-05,0.00113487243652344
"58",600,2.38418579101562e-05,0.00128698348999023
"59",600,2.19345092773438e-05,0.00179505348205566
"60",600,2.40802764892578e-05,0.00125813484191895
"61",700,1.97887420654297e-05,0.00165700912475586
"62",700,3.29017639160156e-05,0.00144410133361816
"63",700,1.9073486328125e-05,0.00165295600891113
"64",700,1.9073486328125e-05,0.0015568733215332
"65",700,1.9073486328125e-05,0.00189304351806641
"66",700,2.09808349609375e-05,0.00609302520751953
"67",700,2.40802764892578e-05,0.00831913948059082
"68",700,2.09808349609375e-05,0.00140285491943359
"69",700,2.09808349609375e-05,0.00156307220458984
"70",700,1.9073486328125e-05,0.00166583061218262
"71",800,2.50339508056641e-05,0.00184202194213867
"72",800,2.09808349609375e-05,0.00233292579650879
"73",800,3.09944152832031e-05,0.00779891014099121
"74",800,1.88350677490234e-05,0.00277495384216309
"75",800,1.9073486328125e-05,0.00184202194213867
"76",800,1.81198120117188e-05,0.00180602073669434
"77",800,1.9073486328125e-05,0.00217103958129883
"78",800,2.00271606445312e-05,0.00214004516601562
"79",800,1.9073486328125e-05,0.00513911247253418
"80",800,1.69277191162109e-05,0.00447916984558105
"81",900,2.40802764892578e-05,0.00309395790100098
"82",900,3.09944152832031e-05,0.00263094902038574
"83",900,1.9073486328125e-05,0.00228309631347656
"84",900,2.09808349609375e-05,0.0059211254119873
"85",900,3.48091125488281e-05,0.00812983512878418
"86",900,2.00271606445312e-05,0.00196599960327148
"87",900,1.9073486328125e-05,0.00726413726806641
"88",900,1.9073486328125e-05,0.00244498252868652
"89",900,2.00271606445312e-05,0.00220894813537598
"90",900,1.97887420654297e-05,0.00222492218017578
"91",1000,3.50475311279297e-05,0.00701093673706055
"92",1000,2.19345092773438e-05,0.00631904602050781
"93",1000,3.50475311279297e-05,0.00475502014160156
"94",1000,2.288818359375e-05,0.00413608551025391
"95",1000,2.00271606445312e-05,0.00352907180786133
"96",1000,1.9073486328125e-05,0.00317907333374023
"97",1000,2.50339508056641e-05,0.00311684608459473
"98",1000,2.69412994384766e-05,0.0119121074676514
"99",1000,2.69412994384766e-05,0.00349283218383789
"100",1000,1.9073486328125e-05,0.00330400466918945
